ExposureID,FilePath,PulsedFraction,PulsedFraction_Error,RMS_PulsedFraction,RMS_PulsedFraction_Error
P050419602201,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602201/LE/P050419602201_LE_pulse_profile_efold_output_same_epoch.fits,0.29983,0.01539,0.12955,0.00263
P050419602202,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602202/LE/P050419602202_LE_pulse_profile_efold_output_same_epoch.fits,0.30248,0.01657,0.13254,0.00284
P050419602203,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602203/LE/P050419602203_LE_pulse_profile_efold_output_same_epoch.fits,0.27596,0.00935,0.12436,0.00163
P050419602205,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602205/LE/P050419602205_LE_pulse_profile_efold_output_same_epoch.fits,0.37324,0.03577,0.14975,0.00622
P050419602206,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602206/LE/P050419602206_LE_pulse_profile_efold_output_same_epoch.fits,0.31108,0.01623,0.12973,0.00286
P050419602207,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602207/LE/P050419602207_LE_pulse_profile_efold_output_same_epoch.fits,0.29814,0.01544,0.12977,0.00275
P050419602208,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602208/LE/P050419602208_LE_pulse_profile_efold_output_same_epoch.fits,0.28382,0.0094,0.12883,0.00167
P050419602209,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602209/LE/P050419602209_LE_pulse_profile_efold_output_same_epoch.fits,0.31371,0.0332,0.14121,0.00607
P050419602210,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602210/LE/P050419602210_LE_pulse_profile_efold_output_same_epoch.fits,0.28392,0.02456,0.13111,0.00447
P050419602211,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602211/LE/P050419602211_LE_pulse_profile_efold_output_same_epoch.fits,0.31782,0.0199,0.13675,0.00355
P050427900101,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050427900101/LE/P050427900101_LE_pulse_profile_efold_output_same_epoch.fits,0.25161,0.00882,0.16673,0.0016
P050427900102,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050427900102/LE/P050427900102_LE_pulse_profile_efold_output_same_epoch.fits,0.25193,0.00876,0.16304,0.00158
P050427900103,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050427900103/LE/P050427900103_LE_pulse_profile_efold_output_same_epoch.fits,0.26052,0.00735,0.1695,0.00134
P050427900104,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050427900104/LE/P050427900104_LE_pulse_profile_efold_output_same_epoch.fits,0.24594,0.00825,0.16485,0.00149
