ExposureID,FilePath,PulsedFraction,PulsedFraction_Error,RMS_PulsedFraction,RMS_PulsedFraction_Error
P050419601201,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601201/HE/P050419601201_HE_pulse_profile_efold_output_same_epoch.fits,0.4326,0.0156,0.24542,0.00314
P050419601301,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601301/HE/P050419601301_HE_pulse_profile_efold_output_same_epoch.fits,0.41147,0.01122,0.24738,0.00224
P050419601501,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601501/HE/P050419601501_HE_pulse_profile_efold_output_same_epoch.fits,0.44909,0.01085,0.2496,0.00211
P050419601502,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601502/HE/P050419601502_HE_pulse_profile_efold_output_same_epoch.fits,0.42726,0.01068,0.24363,0.00205
P050419601601,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601601/HE/P050419601601_HE_pulse_profile_efold_output_same_epoch.fits,0.27822,0.01714,0.15959,0.00329
P050419601602,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601602/HE/P050419601602_HE_pulse_profile_efold_output_same_epoch.fits,0.4241,0.01831,0.24728,0.00346
P050419601603,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601603/HE/P050419601603_HE_pulse_profile_efold_output_same_epoch.fits,0.39583,0.01104,0.22918,0.00212
P050419601701,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601701/HE/P050419601701_HE_pulse_profile_efold_output_same_epoch.fits,0.4009,0.01663,0.23367,0.00315
P050419601801,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601801/HE/P050419601801_HE_pulse_profile_efold_output_same_epoch.fits,0.45482,0.01131,0.2874,0.00211
P050419601901,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601901/HE/P050419601901_HE_pulse_profile_efold_output_same_epoch.fits,0.48647,0.02439,0.30597,0.0046
P050419601902,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601902/HE/P050419601902_HE_pulse_profile_efold_output_same_epoch.fits,0.46347,0.01727,0.27391,0.00314
P050419601903,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419601903/HE/P050419601903_HE_pulse_profile_efold_output_same_epoch.fits,0.47284,0.01706,0.29846,0.00306
P050419602002,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602002/HE/P050419602002_HE_pulse_profile_efold_output_same_epoch.fits,0.44802,0.0119,0.28802,0.00217
P050419602101,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602101/HE/P050419602101_HE_pulse_profile_efold_output_same_epoch.fits,0.46969,0.01096,0.28679,0.00195
P050419602102,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602102/HE/P050419602102_HE_pulse_profile_efold_output_same_epoch.fits,0.43478,0.01729,0.26444,0.0031
P050419602201,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602201/HE/P050419602201_HE_pulse_profile_efold_output_same_epoch.fits,0.45785,0.01922,0.27764,0.00332
P050419602202,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602202/HE/P050419602202_HE_pulse_profile_efold_output_same_epoch.fits,0.68895,0.03576,0.42161,0.00606
P050419602203,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602203/HE/P050419602203_HE_pulse_profile_efold_output_same_epoch.fits,0.42486,0.0108,0.26367,0.00187
P050419602204,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602204/HE/P050419602204_HE_pulse_profile_efold_output_same_epoch.fits,0.42932,0.02296,0.2724,0.00399
P050419602206,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602206/HE/P050419602206_HE_pulse_profile_efold_output_same_epoch.fits,0.55793,0.02731,0.33181,0.00439
P050419602207,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602207/HE/P050419602207_HE_pulse_profile_efold_output_same_epoch.fits,0.461,0.02713,0.27764,0.00459
P050419602208,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602208/HE/P050419602208_HE_pulse_profile_efold_output_same_epoch.fits,0.46629,0.01453,0.29633,0.00243
P050419602209,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602209/HE/P050419602209_HE_pulse_profile_efold_output_same_epoch.fits,0.42013,0.02458,0.25455,0.00421
P050419602211,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419602211/HE/P050419602211_HE_pulse_profile_efold_output_same_epoch.fits,0.51542,0.03192,0.31623,0.0052
P050427900101,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050427900101/HE/P050427900101_HE_pulse_profile_efold_output_same_epoch.fits,0.43361,0.00546,0.29213,0.00123
P050427900103,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050427900103/HE/P050427900103_HE_pulse_profile_efold_output_same_epoch.fits,0.50767,0.00787,0.35846,0.00181
P050427900104,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050427900104/HE/P050427900104_HE_pulse_profile_efold_output_same_epoch.fits,0.50198,0.0062,0.3391,0.00141
