LC_File_Path	Period	Chi-square	TSTARTI
6050390261	9.7925	17048.236328125	20174
6050390212	9.8558	136.70912170410156	20055
6050390240	9.7995	34235.1875	20125
6050390251	9.795900000000001	42943.59765625	20144
6050390249	9.797300000000002	10354.595703125	20142
6050390230	9.8177	19174.17578125	20115
6050390206	9.759200000000002	72.69525909423828	20049
6050390223	9.8594	103.63975524902344	20066
6050390243	9.7988	29000.48046875	20128
6050390204	9.8183	205.32533264160156	20047
6050390242	9.799100000000001	25021.66015625	20127
6050390272	9.7919	2052.865234375	20187
6050390254	9.7957	53364.34375	20147
6050390279	9.7918	1414.5728759765625	20195
6050390268	9.790500000000002	1432.4154052734375	20183
6050390239	9.799900000000001	41960.6171875	20124
6050390278	9.7888	463.59918212890625	20194
6050390232	9.800400000000002	75616.1171875	20117
6050390273	9.7918	1077.051513671875	20188
6050390233	9.800400000000002	87880.328125	20118
6050390234	9.8003	88521.015625	20119
6050390238	9.8	72745.890625	20123
6050390277	9.7909	679.8895263671875	20193
6050390258	9.7925	20315.341796875	20171
6050390241	9.8078	17048.0859375	20126
6050390283	9.7924	525.6272583007812	20202
6050390203	9.8178	220.48512268066406	20046
6050390235	9.8003	69067.6640625	20120
6050390202	9.800500000000001	484.12921142578125	20045
6050390262	9.7954	8746.9228515625	20175
6050390225	9.769300000000001	105.70016479492188	20068
6050390267	9.7924	3482.596923828125	20182
6050390282	9.8368	318.2185363769531	20201
6050390265	9.7925	3034.84521484375	20179
6050390220	9.802000000000001	123.39884185791016	20063
6050390248	9.7963	74491.0234375	20141
6050390227	9.8008	21474.291015625	20112
6050390252	9.795800000000002	47079.76171875	20145
6050390236	9.8001	42063.7578125	20121
6050390244	9.815600000000002	30316.982421875	20130
6050390256	9.7926	44302.875	20169
6050390276	9.7918	2727.30712890625	20192
6050390284	9.775200000000002	948.9879760742188	20203
6050390231	9.800500000000001	24401.203125	20116
6050390228	9.8007	14914.6357421875	20113
6050390255	9.7926	17774.7578125	20168
6050390216	9.7588	5.413197048430068e+23	0
6050390250	9.798200000000001	27539.59765625	20143
6050390219	9.7841	154.2391815185547	20062
6050390281	9.8093	864.4317626953125	20199
6050390257	9.788200000000002	21271.66015625	20170
6050390224	9.7809	581.3598022460938	20067
6050390237	9.8001	96099.7734375	20122
6050390259	9.7927	9010.4189453125	20172
6050390280	9.7748	847.5407104492188	20197
6050390266	9.7926	3600.212646484375	20181
6050390221	9.8184	139.45965576171875	20064
6050390270	9.792100000000001	1712.0169677734375	20185
6050390263	9.792000000000002	4929.96240234375	20176
6050390247	9.792300000000001	25747.193359375	20140
6050390253	9.8131	34661.24609375	20146
6050390222	9.809600000000001	126.28099060058594	20065
6050390229	9.766200000000001	21682.318359375	20114
6050390217	9.7596	1.3563156426940112e-19	0
6050390246	9.811200000000001	6832.34912109375	20134
6050390269	9.7964	1719.958984375	20184
6050390226	9.7963	207.13160705566406	20069
6050390264	9.788300000000001	5041.041015625	20177
