LC_File_Path	Period	Chi-square	TSTARTI
6050390261	9.79537	16911.197265625	20174
6050390212	9.79579	132.63250732421875	20055
6050390240	9.79962	34699.28515625	20125
6050390251	9.795900000000001	42826.2109375	20144
6050390249	9.79541	10472.1083984375	20142
6050390230	9.80043	19369.666015625	20115
6050390206	9.79559	60.243865966796875	20049
6050390223	9.795000000000002	90.88818359375	20066
6050390243	9.798820000000001	29184.80078125	20128
6050390204	9.800970000000001	199.64637756347656	20047
6050390242	9.79903	24582.837890625	20127
6050390272	9.7949	1063.5391845703125	20187
6050390254	9.79568	53572.87890625	20147
6050390279	9.803840000000001	326.1907958984375	20195
6050390268	9.79523	1409.6168212890625	20183
6050390239	9.799900000000001	42229.23046875	20124
6050390278	9.797550000000001	435.5717468261719	20194
6050390232	9.80042	76552.5546875	20117
6050390273	9.7949	629.624267578125	20188
6050390233	9.800370000000001	87348.2265625	20118
6050390234	9.800320000000001	88561.953125	20119
6050390238	9.79997	71713.3203125	20123
6050390277	9.79617	694.5443115234375	20193
6050390258	9.79678	20160.8046875	20171
6050390241	9.79907	16821.08984375	20126
6050390283	9.79493	336.39105224609375	20202
6050390203	9.8007	210.2793731689453	20046
6050390235	9.80028	68626.1484375	20120
6050390202	9.80056	485.46563720703125	20045
6050390262	9.79541	9139.7138671875	20175
6050390225	9.799040000000002	80.29007720947266	20068
6050390267	9.80104	2602.61865234375	20182
6050390282	9.80217	319.3291931152344	20201
6050390265	9.79499	3009.91162109375	20179
6050390220	9.802000000000001	117.87406921386719	20063
6050390248	9.79629	73032.28125	20141
6050390227	9.80076	21747.1484375	20112
6050390252	9.79583	46641.421875	20145
6050390236	9.80023	42482.25	20121
6050390244	9.798330000000002	30018.3671875	20130
6050390256	9.801150000000002	7661.53564453125	20169
6050390276	9.7949	526.8934326171875	20192
6050390284	9.79527	609.6703491210938	20203
6050390231	9.80052	24025.919921875	20116
6050390228	9.800690000000001	14779.1552734375	20113
6050390255	9.80118	3424.843505859375	20168
6050390216	9.794960000000001	1.3563156426940112e-19	0
6050390250	9.798250000000001	27358.5703125	20143
6050390219	9.801060000000001	154.03555297851562	20062
6050390281	9.79494	318.9972229003906	20199
6050390257	9.796800000000001	21029.158203125	20170
6050390224	9.794880000000001	532.532958984375	20067
6050390237	9.80011	96319.0234375	20122
6050390259	9.79537	9522.322265625	20172
6050390280	9.8009	315.3797302246094	20197
6050390266	9.79495	3474.23193359375	20181
6050390221	9.803550000000001	134.88351440429688	20064
6050390270	9.7978	670.3911743164062	20185
6050390263	9.794960000000001	4987.83935546875	20176
6050390247	9.795060000000001	27098.13671875	20140
6050390253	9.795770000000001	34494.05078125	20146
6050390222	9.80316	125.11129760742188	20065
6050390229	9.80057	20520.345703125	20114
6050390246	9.799330000000001	6893.75048828125	20134
6050390269	9.800730000000001	1742.324951171875	20184
6050390226	9.79615	212.0288848876953	20069
6050390264	9.795440000000001	4982.13818359375	20177
