ExposureID,FilePath,PulsedFraction,PulsedFraction_Error,RMS_PulsedFraction,RMS_PulsedFraction_Error
P050419601001,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601001/HE/P050419601001_HE_pulse_profile_efold_output_same_epoch.fits,0.41935,0.01238,0.25697,0.00259
P050419601101,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601101/HE/P050419601101_HE_pulse_profile_efold_output_same_epoch.fits,0.42592,0.01198,0.25353,0.00246
P050419601201,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601201/HE/P050419601201_HE_pulse_profile_efold_output_same_epoch.fits,0.4326,0.0156,0.24542,0.00314
P050419601301,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601301/HE/P050419601301_HE_pulse_profile_efold_output_same_epoch.fits,0.41147,0.01122,0.24738,0.00224
P050419601501,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601501/HE/P050419601501_HE_pulse_profile_efold_output_same_epoch.fits,0.45792,0.01103,0.24837,0.00211
P050419601502,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601502/HE/P050419601502_HE_pulse_profile_efold_output_same_epoch.fits,0.42975,0.01069,0.24314,0.00205
P050419601601,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601601/HE/P050419601601_HE_pulse_profile_efold_output_same_epoch.fits,0.2833,0.01716,0.16002,0.00329
P050419601602,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601602/HE/P050419601602_HE_pulse_profile_efold_output_same_epoch.fits,0.43782,0.01836,0.24808,0.00346
P050419601603,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601603/HE/P050419601603_HE_pulse_profile_efold_output_same_epoch.fits,0.39547,0.01101,0.22889,0.00212
P050419601701,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601701/HE/P050419601701_HE_pulse_profile_efold_output_same_epoch.fits,0.37618,0.01672,0.23363,0.00315
P050419601801,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601801/HE/P050419601801_HE_pulse_profile_efold_output_same_epoch.fits,0.45588,0.01137,0.28737,0.00211
P050419601901,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601901/HE/P050419601901_HE_pulse_profile_efold_output_same_epoch.fits,0.5002,0.02425,0.30656,0.00461
P050419601902,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601902/HE/P050419601902_HE_pulse_profile_efold_output_same_epoch.fits,0.45104,0.01717,0.27321,0.00314
P050419601903,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419601903/HE/P050419601903_HE_pulse_profile_efold_output_same_epoch.fits,0.48173,0.01702,0.29831,0.00306
P050419602002,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602002/HE/P050419602002_HE_pulse_profile_efold_output_same_epoch.fits,0.45156,0.0119,0.28625,0.00217
P050419602101,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602101/HE/P050419602101_HE_pulse_profile_efold_output_same_epoch.fits,0.45374,0.0109,0.28693,0.00195
P050419602102,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602102/HE/P050419602102_HE_pulse_profile_efold_output_same_epoch.fits,0.43652,0.01744,0.26441,0.0031
P050419602201,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602201/HE/P050419602201_HE_pulse_profile_efold_output_same_epoch.fits,0.45566,0.0193,0.27803,0.00332
P050419602202,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602202/HE/P050419602202_HE_pulse_profile_efold_output_same_epoch.fits,0.68566,0.03511,0.42194,0.00607
P050419602203,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602203/HE/P050419602203_HE_pulse_profile_efold_output_same_epoch.fits,0.41918,0.0108,0.26382,0.00187
P050419602204,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602204/HE/P050419602204_HE_pulse_profile_efold_output_same_epoch.fits,0.42715,0.02287,0.27105,0.00399
P050419602206,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602206/HE/P050419602206_HE_pulse_profile_efold_output_same_epoch.fits,0.56012,0.02747,0.33256,0.00439
P050419602207,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602207/HE/P050419602207_HE_pulse_profile_efold_output_same_epoch.fits,0.45874,0.02712,0.27458,0.00459
P050419602208,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602208/HE/P050419602208_HE_pulse_profile_efold_output_same_epoch.fits,0.46676,0.01457,0.2957,0.00243
P050419602209,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602209/HE/P050419602209_HE_pulse_profile_efold_output_same_epoch.fits,0.40805,0.02527,0.25336,0.00421
P050419602211,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050419602211/HE/P050419602211_HE_pulse_profile_efold_output_same_epoch.fits,0.5439,0.03202,0.31636,0.0052
P050427900101,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050427900101/HE/P050427900101_HE_pulse_profile_efold_output_same_epoch.fits,0.32317,0.00595,0.22438,0.00117
P050427900103,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050427900103/HE/P050427900103_HE_pulse_profile_efold_output_same_epoch.fits,0.50665,0.00782,0.35875,0.00182
P050427900104,/home/supremekai/thesis/J0243_6p6124/hxmt/hxmt_efold_output/P050427900104/HE/P050427900104_HE_pulse_profile_efold_output_same_epoch.fits,0.47356,0.00618,0.33184,0.0014
