LightCurve_Name	Best_Fit_Period
./bootstrap_error/6050390201/synthetic_light_curve_90.fits	9.815800000000001
./bootstrap_error/6050390201/synthetic_light_curve_91.fits	9.815800000000001
./bootstrap_error/6050390201/synthetic_light_curve_92.fits	9.815800000000001
./bootstrap_error/6050390201/synthetic_light_curve_93.fits	9.8155
./bootstrap_error/6050390201/synthetic_light_curve_94.fits	9.8147
./bootstrap_error/6050390201/synthetic_light_curve_95.fits	9.8147
./bootstrap_error/6050390201/synthetic_light_curve_96.fits	9.8147
./bootstrap_error/6050390201/synthetic_light_curve_97.fits	9.8147
./bootstrap_error/6050390201/synthetic_light_curve_98.fits	9.8147
./bootstrap_error/6050390201/synthetic_light_curve_99.fits	9.815600000000002
./bootstrap_error/6050390201/synthetic_light_curve_100.fits	9.8147
